City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,okha,53.5739,142.9478,243.43,96,8,3.25,RU,1704057391
176,doka,13.5167,35.7667,298.12,35,0,3.71,SD,1704057391
177,shuangjiang,26.1547,109.7138,284.72,76,97,2.04,CN,1704057198
178,songea,-10.6833,35.65,292.35,91,100,0.71,TZ,1704057391
179,ambodifotatra,-16.9833,49.85,300.59,83,100,4.45,MG,1704057392
180,veraval,20.9,70.3667,294.84,45,0,4.14,IN,1704057392
181,mahanoro,-19.9,48.8,297.74,96,100,2.02,MG,1704057392
182,badger,64.8,-147.5333,251.13,76,0,2.06,US,1704057310
183,rongelap,11.1635,166.8941,300.36,81,67,7.97,MH,1704057392
184,whitehorse,60.7161,-135.0538,259.32,85,75,0.0,CA,1704057392
185,oriximina,-1.7656,-55.8661,301.46,74,92,2.22,BR,1704057393
186,ha'il,27.5219,41.6907,284.16,100,40,2.06,SA,1704057393
187,nenagh bridge,52.8817,-8.1958,279.25,81,89,9.45,IE,1704057393
188,illapel,-31.6308,-71.1653,299.14,36,0,4.09,CL,1704057393
189,mount pearl,47.5166,-52.7813,274.79,94,100,3.58,CA,1704057105
190,flekkefjord,58.2971,6.6607,274.23,88,100,13.15,NO,1704057393
191,saldanha,-33.0117,17.9442,298.18,67,38,5.78,ZA,1704057394
192,gordonvale,-17.0936,145.7842,300.34,98,100,0.25,AU,1704057394
193,petoskey,45.3733,-84.9553,271.94,90,100,3.6,US,1704057260
194,black point,-34.6187,137.8972,291.45,69,96,3.25,AU,1704057394
195,mejit,10.2753,170.8646,300.42,78,59,8.58,MH,1704057394
196,nyurba,63.2842,118.3319,253.3,99,100,0.56,RU,1704057394
197,mount isa,-20.7333,139.5,295.02,28,0,0.0,AU,1704057118
198,freetown,8.484,-13.2299,300.99,78,40,4.12,SL,1704057217
199,san patricio,28.017,-97.5169,298.2,49,13,6.33,US,1704057389
200,motygino,58.1831,94.7592,263.59,89,100,4.92,RU,1704057395
201,alaghsas,17.0187,8.0168,292.6,14,0,5.06,NE,1704057395
202,kyren,51.6828,102.1408,262.01,87,100,1.34,RU,1704057395
203,uturoa,-16.7333,-151.4333,301.19,80,98,6.03,PF,1704057395
204,brokopondo,4.75,-55.1667,303.11,60,100,0.74,SR,1704057396
205,bamboo flat,11.7,92.7167,300.2,74,20,3.09,IN,1704057396
206,ostersund,63.1792,14.6357,263.4,85,100,4.12,SE,1704057112
207,zaragoza,41.6561,-0.8773,284.27,59,20,3.6,ES,1704057396
208,tarutyne,46.1858,29.1506,278.14,81,11,3.52,UA,1704057203
209,hilo,19.7297,-155.09,298.49,78,75,4.12,US,1704057396
210,cacequi,-29.8836,-54.825,296.24,68,69,4.8,BR,1704057397
211,namibe,-15.1961,12.1522,295.42,75,11,4.1,AO,1704057397
212,alice springs,-23.7,133.8833,292.9,26,91,2.06,AU,1704057397
213,chita,52.0333,113.55,247.09,77,20,0.0,RU,1704057397
214,skovorodino,53.9833,123.9167,252.78,99,100,1.32,RU,1704057397
215,haiku-pauwela,20.9219,-156.3051,298.73,60,20,3.09,US,1704057376
216,ciudad lazaro cardenas,17.9583,-102.2,300.45,57,46,3.87,MX,1704057398
217,pesqueira,-8.3578,-36.6964,299.38,60,99,5.49,BR,1704057398
218,portland,45.5234,-122.6762,282.38,94,100,2.06,US,1704057350
219,rexburg,43.826,-111.7897,277.34,64,0,1.54,US,1704057373
220,poso,-1.3959,120.7524,298.39,87,99,1.53,ID,1704057398
221,kodiak,57.79,-152.4072,270.88,93,0,3.09,US,1704057398
222,jinchang,38.4953,102.1739,270.94,36,100,0.77,CN,1704057398
223,vorkuta,67.5,64.0,243.58,99,46,1.53,RU,1704057117
224,utrik,11.2278,169.8474,300.43,74,54,8.35,MH,1704057399
225,nemuro,43.3236,145.575,268.87,71,100,10.91,JP,1704057399
226,isangel,-19.55,169.2667,301.48,69,79,4.34,VU,1704057399
